molecule_number,Mol num,smiles,"pka (h2O/dioxane, 70C)",pKa (fitted),"pKaH (fitted, 70C)","pKaH (NMR, 25C)",pH,log(k_obs),T (celcius),Solvents,Ratio of solvents,Percent zwitterion at pH 5.0-5.5,Concentration (mol/L),Notes
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,11.5,-2.48,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,12.46,-3.2,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,12.77,-3.49,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,13.1,-3.84,70,"water, dioxane",50/50,95%,0.05,
44,1,OB(O)c1ccccn1,10.76,,3.52,3.86,13.43,-4.18,70,"water, dioxane",50/50,95%,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,0.62,-6.61,70,"water, dioxane",50/50, ,0.05,pkaH of -20 was set arbitrarily low (everything protonates eventually)
50,2,OB(O)c1ccsc1,8.9,,-20,,1.08,-7.06,70,"water, dioxane",50/50, ,0.05,"pka wasn't actually measured at h2O/dioxane 70C, but it's my best guess"
50,2,OB(O)c1ccsc1,8.9,,-20,,1.38,-7.27,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,5.11,-7.05,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,5.54,-6.95,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,5.95,-6.99,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,6.34,-7.1,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,6.75,-7.38,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,7.17,-7.43,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,7.66,-7.3,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,8.15,-7.09,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,8.71,-7.03,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,9.41,-6.79,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,9.59,-6.61,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,9.97,-6.42,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,10.42,-6.11,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,10.81,-5.94,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,11.22,-5.94,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,11.7,-5.95,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,12.23,-5.99,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,12.65,-5.98,70,"water, dioxane",50/50,,0.05,
50,2,OB(O)c1ccsc1,8.9,,-20,,12.94,-6,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,1.08,-4.84,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,1.46,-5.27,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,1.97,-5.81,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,2.46,-6.13,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,2.86,-6.43,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,3.34,-6.51,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,6.23,-7.08,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,6.92,-7.09,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,7.89,-6.76,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,8.34,-6.51,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,8.77,-6.07,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,9.26,-5.53,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,9.7,-5.12,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,10.14,-4.94,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,10.56,-4.91,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,11.02,-4.96,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,11.55,-5.02,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,12.18,-5,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,12.49,-5.01,70,"water, dioxane",50/50,,0.05,
51,3,OB(O)c1ccco1,10.29,,-20,,12.91,-4.88,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,0.98,-5.47,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,1.42,-5.98,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,1.92,-6.37,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,2.43,-6.65,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,6.85,-6.8,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,7.27,-6.82,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,7.58,-6.92,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,8.32,-6.17,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,8.64,-5.9,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,8.91,-5.47,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,9.19,-5.19,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,9.5,-4.9,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,9.82,-4.53,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,10.12,-4.29,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,10.42,-4.12,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,10.75,-4.04,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,11.1,-3.98,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,11.5,-3.95,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,11.83,-3.94,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,12.15,-3.94,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,12.45,-3.94,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,12.74,-3.93,70,"water, dioxane",50/50,,0.05,
52,4,OB(O)c1cccs1,10.38,,-20,,12.8,-3.83,90,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,1.03,-6.57,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,1.42,-7.01,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,2,-7.67,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,2.7,-7.8,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,3.42,-7.72,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,4.25,-7.87,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,5.14,-7.66,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,5.92,-7.54,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,7.05,-7.51,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,7.77,-7.5,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,8.72,-7.04,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,9.35,-6.71,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,9.96,-6.28,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,10.51,-5.98,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,11.02,-5.83,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,12.66,-5.88,70,"water, dioxane",50/50,,0.05,
54,6,C=CB(O)O,11.21,,-20,,13.22,-5.98,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,0.65,-6.59,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,1.1,-7.04,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,1.8,-7.83,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,2.76,-7.97,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,3.15,-7.64,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,5.63,-7.56,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,6.35,-8.89,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,7.14,-8.13,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,7.99,-8.13,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,8.79,-9.04,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,9.45,-8.53,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,10.04,-7.73,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,10.61,-7.48,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,11.22,-6.95,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,11.79,-6.61,70,"water, dioxane",50/50,,0.05,
55,7,OB(O)C1CC1,12.72,,-20,,13.17,-6.13,70,"water, dioxane",50/50,,0.05,
56,8,CB(O)O,8.11,,-20,,0.96,-7.29,70,"water, dioxane",50/50,,0.05,"56-58 have no basic site, so no pka, pka arbitrarily set to 0"
56,8,CB(O)O,8.11,,-20,,1.33,-7.57,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,1.83,-7.86,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,2.27,-7.69,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,2.88,-7.81,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,3.34,-7.22,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,3.83,-6.85,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,4.25,-6.86,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,5.84,-6.61,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,5.9,-6.61,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,7.25,-6.64,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,8.03,-7.25,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,8.66,-7.71,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,9.21,-7.66,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,9.78,-7.5,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,10.84,-7.2,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,11.34,-6.95,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,11.77,-6.8,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,12.21,-6.76,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,12.6,-7.09,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
56,8,CB(O)O,8.11,,-20,,13.01,-7.27,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,0.63,-8.05,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,1.06,-8.32,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,1.52,-8.92,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,2.02,-8.44,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,2.5,-7.52,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,2.62,-7.36,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,3.07,-6.83,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,3.12,-7.35,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,3.63,-7.38,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,6.79,-7.51,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,7.35,-7.47,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,7.83,-7.55,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,8.3,-6.72,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,8.81,-6.64,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,9.31,-6.9,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,9.87,-7.22,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,10.32,-6.87,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,10.84,-7.55,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,11.35,-6.86,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,11.85,-6.75,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
57,9,OB(O)C1CCC1,6.01,,-20,,12.58,-6.86,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,1.07,-6.87,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,1.65,-6.79,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,2.2,-6.75,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,2.75,-6.76,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,3.35,-6.78,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,3.94,-7.79,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,4.64,-9.03,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,5.31,-8.19,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,6,-8.11,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,6.18,-7.95,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,6.88,-7.95,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,7.68,-7.96,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,8.55,-7.93,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,9.17,-7.68,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,9.77,-7.53,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,10.42,-7.04,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,10.99,-6.7,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,11.72,-6.35,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,12.18,-6.38,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,12.74,-6.4,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
58,10,OB(O)C1CCCCC1,7.47,,-20,,13.13,-6.46,70,"water, dioxane",50/50,,0.05,pKa prediction from NN in water from http://pka.luoszgroup.com/prediction
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,0.57,-4.44,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,0.89,-4.53,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,1.21,-4.66,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,1.63,-4.94,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,2.09,-5.36,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,2.56,-5.83,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,3.02,-6.21,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,3.44,-6.3,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,3.83,-6.47,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,4.23,-6.54,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,4.65,-6.53,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,4.8,-6.57,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,5.38,-6.7,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,6.3,-6.67,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,7.32,-6.74,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,8.3,-6.52,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,8.76,-6.41,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,9.15,-6.28,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,9.58,-6.16,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,10.09,-5.89,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,10.45,-5.73,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,10.89,-5.52,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,11.32,-5.23,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,11.79,-5.22,70,"water, dioxane",50/50,5%,0.05,
60,11,OB(O)c1cn[nH]c1,11.61,,1.26,1.7,12.24,-5.19,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,0.59,-5.77,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,1.03,-6.18,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,2.04,-6.35,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,2.54,-6.28,70,"water, dioxane",50/50,5%,0.05,
61,12,Cc1noc(C)c1B(O)O,10.45,,0.04,0.05,5,-6.27,70,"water, dioxane",50/50,5%,0.05,
